##name	Shakespeare Words
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/04/26, 23:14
##author	Andy Boyle
##email	andyboyle@videotron.ca
##description	Shakespeare into modern english
##browsingEnabled	
##bgl_creationTime	2003/01/19, 16:41
8EAF66FD.bmp	File: 8EAF66FD.bmp
PUCELLE	a virgin, the name given to Joan of Arc
pudder	tumult. [King Lear]
puddled	muddied. [Othello]
PUDENCY	modesty
Pugging	thieving
puling	whining. [Romeo and Juliet]
pull in	rein in
PUN	to pound
Punk	strumpet
purblind	quite blind or merely dimsighted. [Romeo and Juliet]
PURCHASE	to acquire, win; gain, winnings
purgative	cleansing (such as a laxative or cathartic)
purged	cleansed
purple-hued malt-worm	purplefaced beer-drinkers. [King Henry IV, Part 1]
Purple-in-Grain	dyed deep red
pursy	sensual. [Hamlet]
purveyor	an officer of the king sent before to provide food for the king and his retineu, as the harbinger provided lodging
push	attack, onset
PUT	to compel
put foil	set it off by contrast. [The Tempest]
put on	incite. [Othello]; reveal. [Julius Caesar]
put to silence	a euphemism for executed. [Julius Caesar]
put up our pipes	pack up. [Romeo and Juliet]
PUTTER	ON: an instigator
PUTTING	ON instigation
PUTTOCK	a kite
Puzzle	a dirty strumpet
QUAIL	to faint, be languid, be afraid to cause to quail
quailing	cowardly giving up. [King Henry IV, Part 1]
quaint	the word has various Elizabethan meanings: skillful, ingenious, delicate, elegant. [The Tempest]
Quaintly	cleverly, ingeniously
QUAKE	to cause to quake or tremble
QUALIFY	to moderate
Quality	those of the same nature Rank or condition, character, essence, nature, capability
QUARREL	a suit, cause
quarry	a heap of slaughered game
QUART D'ECU	a quarter crown
QUARTER	the post allotted to a soldier
QUAT	a pimple; used in contempt of a person
Quatch-buttock	flat butt
Quean	wench, hussy
QUEASY	squeamish, unsettled
quell	stop, (in context) murder
QUENCH	to grow cool
QUERN	a hand-mill
QUEST	enquiry, search, inquest, jury QUESTRIST: one who goes in search of another
Question	contest, conversation
Questions	arguing
QUESTRIST	one who goes in search of another
Quests	groups of searchers
QUICK	so far gone in pregnancy that the child is alive
quick mettle	mentally sharp. [Julius Caesar]
QUICKEN	to come to life
QUIDDIT	| a subtle question QUIDDITY |
quiddities	subtle distinctions, hair-splitting. [Hamlet]
QUIDDITY	that which makes a thing what it is; the essential nature
quilets	quibbles. [Hamlet]
QUILLET	quidebet, a subtle case in law
quillets	quips. [Othello]
QUINTAIN	a post for tilting at
QUIP	sharp jest, a taunt
QUIRE	to sing in concert
QUIT	to requite, respond
QUITANCE	requital
QUIVER	active
QUOTE	to note
R	rack'd reference to the rack, an instrument of torture. [Twelfth Night]
RABATO	a ruff
RABBIT	SUCKER: a weasel
RACE	breed; inherited nature
RACK	wreck; to enhance the price of anything To drive as clouds
RAG	a term of contempt applied to persons
RAKE	to cover
Ramps	wanton strumpets
rank garb	gross manner. [Othello]
ranker	greater. [Hamlet]
RAPT	transported with emotion
RAPTURE	a fit
RASCAL	a lean deer
RASH	quick, violent
RATE	to assign, to value To scold
rated	upbraided. [Julius Caesar]
RATOLORUM	a ludicrous mistake for Rotulorum
RAUGHT	past tense of reach
raveled sleave	yarn or thread that is tangled or twisted
RAVIN	to devour
ravin up	devour greedily
ravin'd	ravenous
RAWLY	inadequately
rawness	hurry
RAYED	arrayed, served
raze	erase
RAZED	slashed
razes	roots (from Latin, radix root). [King Henry IV, Part 1]
REAR	MOUSE the bat
reasonable shore	the shore of reason, the mind. [The Tempest]
REBATE	to deprive of keenness
REBECK	a three-stringed fiddle
receipt	receptacle
received	believed
receiving	sensitive understanding. [Twelfth Night]
RECHEAT	a point of the chase to call back the hounds
recks rede	takes no care of his own counsel. [Hamlet]
recoil	swerve
Recommends	reports to
RECORD	to sing
Recorder	a kind of flageolet
RECURE	to cure, recover
RED	PLAGUE erysipelas
Rede	counsel, advice
REDUCE	to bring back
Reechy	smoky, grimy
reeking	sweating. [King Lear]
REFELL	to refute
REFER	to reserve to
Reference	assignment
REGIMENT	government
REGREET	a salutation; to salute
REGUERDON	requital
relation	narrative
RELATIVE	applicable
relish	smack
REMEMBER	to remind
remembrances	love-tokens. [Hamlet]
remorse	pity
REMORSEFUL	full of pity, compassionate
REMOTION	removal
REMOVED	sequestered, remote
RENDER	account
rendered	surrendered
RENEGE	to renounce, to deny
Rent	rend
REPAIR	to renovate, comfort
REPEAL	to reverse the sentence of exile
repose	rest
REPROOF	confutation
REPUGN	to resist
REQUIEM	mass for the dead, so called because it begins with the words " Requiem eternam dona eis, Domine"
require	ask her to give
Rere-Mice	bats
RESOLVE	to satisfy To dissolve
resolve yourselves	decide, make up your mind
Respect	consideration, care, esteem
RESPECTIVE	respectful, thoughtful
RESPECTIVELY	respectfully
Respects	regards
rest	remain
rest you merry	a colloquial term of farewell, comparable to our "All the best!" [Romeo and Juliet]
Restem	to steer again
Resty	idle, lazy
RETAILED	handed down
RETIRE	retreat; to draw back
return	give back, render
REVERB	to echo
reverb no hollowness	i.e., make no noise, as a hollow vessel does when it is struck. [King Lear]
REVOLT	a rebel
rheumy	moist. [Julius Caesar]
rhubarb	The dried, bitter-tasting rhizome and roots of Rheum palmatum or R. officinale of eastern Asia, used as a laxative.
RIB	to enclose as within ribs
Rid	to do away with
RIFT	to split; a split
RIGGISH	wanton
RIGOL	a circle
Ripe	ready for presentation, grow ripe
Riper	older, more mature (person, plant, thing)
RIVAGE	the shore
RIVAL	a partner
RIVALITY	equal rank
RIVE	to fire
ROAD	the high road, applied to a common woman
robustious	ranting. [Hamlet]
ROISTING	roistering, violent ROMAGE unusual stir
ROMAGE	unusual stir
Rondure	roundness, sphericity
RONVON	a term of contempt applied to a woman
ronyon	a term of abuse or contempt. [Macbeth]
ROOD	the crucifix
Roof	house, family. lineage (especially a noble one)
roof'd	gathered under one roof
ROOK	a cheater
rooky	gloomy
ROPE	TRICKS: tricks such as are played by a rope-dancer
ROPERY	roguery
ROUND	to whisper; to become great with child; to finish off; a diadem; unceremonious
ROUNDEL	a dance or song
ROUNDURE	an enclosure
ROUSE	carousal
ROYNISH	mangy
RUBIOUS	ruddy
rubs	hindrances, impediments
RUDDOCK	the redbreast
Rude	unpolished (as in speech), course, brutish
Rudesby	a rude fellow
Ruinate	to ruin, destroy
rump	fed
rump-fed	fed with expensive cuts of meat. [Macbeth] S
Run Through Fire	to do impossibilities
runnion	skag, mangy woman
RUSH	to push
RUSHLING	rustling
sable silver'd	black streaked with white. [Hamlet]
SACRIFICIAL	reverent, as words used in religious worship
SACRING	BELL the little bell rung at mass to give notice that the elements are consecrated
SAD	serious
SADLY	seriously
SADNESS	seriousness
SAFE	to make safe
safe toward	with a sure regard to
sag	droop, sink
Sagittary	an inn at the sign of the Archer or Centaur
Saint Colme's inch	Inch is Scots for "island". Inchcolm.
sallies	sudden advances in battle. [King Henry IV, Part 1]
SALT	lascivious
salute	greet
SANDED	marked with yellow spots
SANS	without
SAUCY	lascivious
Savors	scents, fragrance
SAW	a moral saying
saws	maxims, aphorisms. [Twelfth Night]
SAY	silken; assay, taste, relish SCAFFOLDAGE; the gallery of a theatre
SCAFFOLDAGE	the gallery of a theatre
SCALD	scurvy, scabby SCALE; to weigh in scales
SCALE	to weigh in scales
SCALL	a scab, a word of reproach
SCAMBLE	to scramble
SCAMEL	probably a misprint for sea-mel, sea-mew
SCAN	to examine subtly
SCANT	to cut short, to spare; scanty, short scarcely
scant show well	scarcely appear attractive. [Romeo and Juliet]
scanted	ignored. [King Lear]; stingy. [King Lear]
SCANTLING	a small portion
SCAPE	to escape
scarf up	blindfold
scarfed	with flags flying. [The Merchant of Venice]
SCATHE	injury; to injure
SCATHFUL	destructive
SCONCE	the head
Scone	where Scottish kings were crowned. [Macbeth]
scorched	slashed
SCOTCH	to bruise or cut slightly
scotch'd	slashed, gashed. [Macbeth]
SCRIMER	a fencer
scrimers	fencers. [Hamlet]
Scrip	scroll, list of actors
SCROYLE	a scabby fellow
scruples	qualms
SCULL	a shoal of fish
SCURVY	scabby; mean
scutcheon	shield on coat of arms. [King Henry IV, Part 1]
se offendendo	in self-defense. [Hamlet]
Seal	pledge, stamp
SEAM	fat
SEAMY	showing the seam or sewing
SEAR	to stigmatise
SEARCH	to probe; hence, to apply a healing remedy
season	seasoning
seat	situation, site
SEATED	fixed, confirmed
seated in the mean	with neither too much nor too little. [The Merchant of Venice]
second cock	the second crow of the rooster (3 AM)
SECT	a slip or scion A political party
Sect or Scion	cutting or graft
Secure	without care, confident
SECURELY	inconsiderately
security	confidence, consciousness of security, carelessness
seel	blind, close. [Othello]
SEELING	closing, blinding
SEEMING	seemly, becomingly
SEEN	versed, instructed
Seething	heated, excited
SELD	seldom
SELF	BOUNTY: native goodness
self-bounty	inherent goodness. [Othello]
selfsame	very same
selfsame flight	same sort. [The Merchant of Venice]
SEMBLABLY	alike
SENIORY	seniority
senna	The dried leaves of Cassia angustifolia or Cassia acutifolia (which are pinnately compound leaves and showy, nearly regular, usually yellow flowers) used medicinally as a cathartic (for emotional release).
sennet	a trumpet call for formal entrances and exits
Sensible	capable of feeling
SEPULCHRE	to bury
Sequent	successive
SEQUESTRATION	separation
SERE	dry
SERJEANT	a bailiff
Serpent's Tongue	hissing, as a sign of disapproval
SERPIGO	a cutaneous disease
SERVICEABLE	'serviceable vows,' vows that you will do her service, or be her servant
set cock-a-hoop	orig., to drink without stint, make good cheer recklessly, (hence) to cast off all restraint. [Romeo and Juliet]
set forth	shewed
SETEBOS	the name of a fiend
SETTER	one who watches travellers to give information to thieves
settled	determined
sev'nnights	weeks
sevennight	a week
SEVERAL	land which is not common but appropriated
several bastardy	not true Roman blood [Julius Caesar]
Sewer	one who tasted each dish to prove there was no poison in it
shadow	hide
shaft	horse
shag	eare'd having having hairy ears
Shakespeare’s vocabulary	Here you go.
SHAME	modesty
shard	borne borne by scaly wing-cases
SHARDS	the wing cases of beetles; hence 'sharded,' and 'shard-borne,'
shark'd	gathered indiscriminately. [Hamlet]
SHARKED	snatched up, as a shark does his prey
Sharked up	gathered indiscriminately
SHEEN	brilliancy
Sheep-biter	a malicious creep
SHEER	pure; unmixed
SHENT	rebuked, blamed Hurt SHERIFF'S-POST a post at the door of a sheriff, to which royal proclamations were fixed
SHERIFF'S	POST; a post at the door of a sheriff, to which royal proclamations were fixed
shipman's card	a card used by sailors showing the compass
SHIVE	slice
shoal	a shallow part of a water body, or an elevated sand formation that makes the watter shallow and becomes a danger (sandbar)
shoon	shoes. [Hamlet]
Shore	shorn
SHOT	the reckoning at an ale-house
shough	a kind of shaggy dog
SHOUGHS	shaggy dogs
SHOULDERED	plunged
SHOVEL	BOARD: game played by sliding metal pieces along a board at a mark
SHREWD	mischievous
SHRIFT	confession; absolution
SHRIVE	to confess
SHRIVING	TIME: time for confession
SHROUD	to enshroud oneself, cover oneself up
shut up	ended his day
sick offence	harmful illness. [Julius Caesar]
sicken	be surfeited
SIDE	SLEEVES loose hanging sleeves
SIEGE	seat; stool; rank
sift him	find out what one knows. [Hamlet]
SIGHT	an aperture in a helmet
sightless	invisible
SIGN	to give an omen
signifying nothing	lacking sense or meaning. [Macbeth]
Signiory	government of venice
SILLY	simple, rustic
SIMULAR	counterfeit, feigned
Sinel	The former thane of Glamis, Macbeth's father
SINGLE	feeble
Sinister	left
SIR	a title applied to a bachelor of arts at the Universities
sir-reverence	filth, dung. "Sir-reverence" came to mean this because the word prefaced mention of unpleasant things (a corruption of "save your reverence;" i.e., excuse my mentioning it). [Romeo and Juliet]
Sirrah	a term used to address male servants, inferiors, and sometimes children [audio]
Sisters Three	the Fates
SITH	since
SITHENCE	since
SIZES	allowances
SKAINS	MATES: scapegraces
SKILL	to be of importance
SKILLESS	ignorant
SKIMBLE	SKAMBLE rambling, disjointed
skimble-skamble stuff	confused, rambling nonsense. [King Henry IV, Part 1]
SKINKER	a drawer of liquor
SKIRR	to scour
slab	viscid
SLACK	slacken
SLAVE	to turn to slavish uses
sleave	sleave-silk, floss silk
SLEDDED	sledged
sleek o'er	smooth
SLEIDED	untwisted, raw, applied to silk (Gower)
SLEIGHTS	artifices
slenderly known himself	knows little of his real self. [King Lear]
slipp'd	let slip
slipp'd the hour	passed the appointed time. [Macbeth]
SLIPPER	slippery
SLIPS	a kind of noose, or leash; a piece of base money
SLIVER	to slice; a slice
slivered in the moon's eclipse	cut during the creepy time when the moon is in an eclipse
SLOPS	loose breeches
SLUBBER	to slur over
Slubber the Gloss of	take the shine off
slug-abed	lit. slug in a bed, i.e., lazy creature. [Romeo and Juliet]
smack	have the taste, savor
Small	in treble voice like a boy or a woman
smilets	little smiles. [King Lear]
SMIRCHED	smeared, soiled
SMOOTH	to flatter
SMOOTHED	flattered, fawned upon
SNEAP	taunt, sarcasm
SNEAPED	pinched SNECK-UP: go hang!
SNECK	UP go hang!
sneck up!	Go hang (onomatopoetic sound of a man's neck breaking.) [Twelfth Night]
snipe	a person not worth consideration, a pain in the...
Snorting	snoring
SNUFF	anger; 'To take in snuff' is to take offence
so well	as well
Soft you!	i.e., Hold on; wait. [Hamlet] [Julius Caesar]
SOFTLY	gently
SOIL	spot, taint
sole	alone, mere
Solemnities	marriage festivities
Solemnly	with due ceremony
SOLICIT	solicitation
soliciting	inciting
solicits	enreats, moves by prayer
SOLIDARE	a small coin
SOLVE	solution
something	some distance
sometime	sometimes
SOMETIMES	formerly
sonties	saints. [The Merchant of Venice]
sooth	truth
SORE L	a buck of the third year
SOREL	a buck of the third year
sorely charged	heavily burdened
SORRIEST	most sorrowful
SORRY	sorrowful, dismal
SORT	a company; rank, condition; lot 'In a sort,' in a manner; to choose to suit; to consort
SOT	fool
SOUL	FEARING : soul-terrifying
sounded	proclaimed. [Julius Caesar]
sow'd a grizzle on thy case	grown a beard on your face. [Twelfth Night]
SOWL	to lug, drag
SOWTER	name of a dog
SPECIALLY	a special contract
speculation	intelligence
SPED	settled, done for
SPEED	fortune
SPERR	to bolt, fasten
Sphery	star-like
SPIAL	spy
SPILL	to destroy
SPILTH	spilling
SPLEEN	violent haste; used of the lightning flash
splenetive	full of spleen, hot-tempered. [Hamlet]
Split	"to make all split", a proverbial expression used to denote violent action; originally used by sailors
spongy	drunk, saturated with liquor. [Macbeth]
Spotted	polluted
SPRAG	quick
SPRING	shoot, bud Beginning
springe	snare. [Hamlet]
SPRINGHALT	stringhalt, a disease of horses
SPRITED	haunted
sprites	ghosts, spirits
SPURS	roots of trees
spy	Note
SQUANDERED	scattered
SQUARE	equitable
SQUARER	quarreller
SQUASH	an unripe peascod
SQUIER	a square or rule
SQUINY	to squint
Srubbed	scrubby, paltry
stableness	constancy
staff	lance
STAGGERS	a disease in horses, attended with giddiness: hence any bewildering distress
STAIN	to disfigure
STALE	to make stale, deprive anything of its freshness
stamp	stamped coin
stanchless	insatiable
stand	remain
stand close	stand back, conceal yourself. [Julius Caesar]
STAND UPON	to be incumbent on
STANIEL	an inferior kind of hawk
star-crossed	i.e., their fortunes were marred by the influence of the stars. That men's natures and fortunes were influenced by the star under which they were born was a widespread superstition of Elizabethan times. [Romeo and Juliet]
STARK	stiff
STARKLY	stiffly
starting	startled actions
state	chair of State
state of honor	noble rank, condition
STATION	attitude Act of standing
STATIST	a statesman
STATUA	a statue
STATUE	image, picture
STATUTE	security, obligation
stay	wait for
Stead	to help
steads	benefits. [Romeo and Juliet]
stealing out of	overcharging for
Stealth	stealing away
Steeled|Steel'd	set or fixed
STERNAGE	steerage, course
Stick'st	hesitate
sticking place	This is a reference to the medieval crossbow. The bowstring was pulled back by a crank, and the arrow placed in a notch (sticking place) until released.
STICKLER	an arbitrator in combats
STIGMATIC	a deformed person
STIGMATICAL	deformed
Still	always, ever
still quiring	ever singing. [The Merchant of Venice]
STILLY	softly
STINT	to stop to stop
stir	stirring, moving
STITHY	a smith's forge; to forge
STOCCADO	a stoccata, or thrust in fencing
STOCK	a stocking
STOMACH	courage, stubbornness Appetite, inclination
STONE	BOW: a cross-bow for throwing stones
Stood Upon	depended upon
storehouse	place of burial
stoup	cup, flagon, or tankard. [Twelfth Night] [Hamlet]
STOUT	strong, healthy
STOVER	fodder
STRACHY	A word of doubtful meaning
STRAIGHT	immediately
STRAIN	lineage; disposition
STRAITED	straitened
STRANGE	foreign ; coy, reserved Marvellous
strangely	visited afflicted with strange diseases
STRANGENESS	coyness, reserve
STRANGER	foreigner
STRAPPADO	a kind of punishment
Streak	touch softly
Stretch'd	strained
STRICTURE	strictness
stronds	shores. [King Henry IV, Part 1]
STROSSERS	trowsers
Stubborn	rough
STUCK	a thrust of a sword
STUCK IN	corruption of stoccata
STUFF	baggage; material, substance
stuff'd	crammed, full to bursting
STUFFED	filled, stored
stumblest on my counsel	overhears by accident my secret thoughts. [Romeo and Juliet]
STY	to lodge as in a sty
suborn'd	secretly induced or hired. [Macbeth]
suborned	bribed (subordinated)
SUBSCRIBE	to yield to succumb
substances	forms
SUCCESS	issue, consequence; succession
SUCCESSIVE	succeeding; in succession
SUCCESSIVELY	in succession
sudden	violent
SUDDENLY	hastily
suffer	perish
SUFFERANCE	suffering
Sufficiency	ability
SUGGEST	to tempt, entice
SUGGESTION	temptation, enticement
suit	wooing. [Twelfth Night]
SUITED	dressed
SULLEN	doleful, melancholy
SUMPTER	a horse that carries provisions on a journey
sundry	various
supp'd	had supper
SUPPOSE	a trick, imposition
SUPPOSED	counterfeit
SUR	REINED : over-worked
surcease	cessation
surfeited grroms	servants who had too much wine
SURPRISE	to capture by surprise
surveying	noticing, perceiving
SUSPECT	suspicion
SUSPIRE	to breathe
SWABBER	a sweeper of the deck of a ship
swag-bellied	loose-bellied. [Othello]
Swart-Complexion'd|Swart-Cmplexioned	of dark complexion, grim faced
SWARTH	black
SWASHER	swaggerer
SWASHING	dashing, smashing
swashing blow	knock-out blow. [Romeo and Juliet]
SWATH	The same as 'swarth.'
SWATHLING	swaddling
SWAY	to move on
sway by	am directed by
SWEAR	to adjure
SWEAR OVER	to out-swear
swears	swears allegiance
sweet friends	i.e., the two lips. [The Merchant of Venice]
sweltered	sweated
SWIFT	ready, quick
SWINGE	BUCKLER a bully
swoopstake	in a clean sweep. [Hamlet]
swounded	fainted. [Julius Caesar] T
Swounds!	Holy Cow! (literally, “God’s wounds”)
syllable	sound
TABLE	BOOK: note-book
TABLES	the game of backgammon A note-book
tabor	small drum used by professional clowns and jesters. [Twelfth Night]
TABOUR	a small side-drum
TABOURER	a player on the tabour
TABOURINE	tambourine, drum
TAG	the rabble
TAINT	tainted
TAINTURE	defilement
TAKE	to infect, blast, bewitch
TAKE IN	to conquer
TAKE OUT	to copy
TAKE UP	to borrow money, or buy on credit To make up a quarrel
TAKING	infection, malignant influence
taking off	murder
TAKING UP	buying on credit
TALE	counting, reckoning
TALL	strong, valiant
TALLOW	CATCH: a lump of tallow
TANG	twang, sound; to sound
TANLING	anything tanned by the sun
taper	candle. [Julius Caesar]
tardiness in nature	natural reticence. [King Lear]
Tarquin	The son of a Roman king who raped a married woman named Lucretia
TARRE	to excite, urge on
TARRIANCE	delay
Tartar	A member of any of the Turkic and Mongolian peoples of central Asia who invaded western Asia and eastern Europe in the Middle Ages. Often used to mean a violent person.
TASK	to tax Challenge
TASKING	challenging
TASTE	to try
TAWDRY	LACE : a rustic necklace
TAXATION	satire, sarcasm
TAXING	satire
Tear	to rant violently
teems	teems with
TEEN	grief
TELL	to count
tell the clock	answer appropriately. [The Tempest]
TEMPER	to mix
TEMPERANCE	temperature
TEMPERED	mixed
tempest	storm
TEND	to attend to
tend on	wait on
TENDER	to hold, to esteem; To have consideration for
tenders	offers. [Hamlet]
tending	tendrance, attendance
TENT	a probe for searching a wound
TERCEL	the male of the goshawk
TERMAGANT	a ranting character in old plays
terms compulsative	force. [Hamlet]
Test	evidence
TESTED	pure, assayed
TESTERN	to reward with a tester, or six-pence
tetchy	fretful, peevish. [Romeo and Juliet]
Tetter	an eruption of the skin
Thane	Scottish noble [audio]
THARBOROUGH	a constable
the ash	hole under a kiln
the evil	scrofula was a disease of the lymph glands thought to be cured by the king's touch. James I, like Edward the Confessor in the play, thought to cure victim's of the king's evil by touching them [link]
the golden round	crown
the leading	star, pole-star
Theban	the association of the Greek city Thebes, as with Athens, is with philosophical inquiry. [King Lear]
Theoric	theory
THEORICK	theory
therewithal	therewith
THEWES	sinews, muscles
THICK	rapidly
THIRD	BOROUGH: a constable
thirst	desire to drink
THOUGHT	anxiety, grief So 'to take thought' is to give way to grief
thought-executing	numbing the thought. [King Lear]
Thrall	a slave
thralls	slaves, bondment
THRASONICAL	boastful
threat	threaten
THREE	PILE
THRENE	lament
THRID	thread, fibre
Thriftless	showing no sense of thrift or economy
THROE	to put in agonies
Thrum	the loose end of a weavers warp
THRUMMED	made od coarse ends or tufts
thunder-stone	thunderbolt, lightning. [Julius Caesar]
TICKLE	ticklish
TIGHT	nimble, active
TIGHTLY	briskly, promptly
TIKE	a cur
till that	till
TILLY	VALLY: int. an exclamation of contempt
TILTH	tillage
TIMELESS	untimely
timely	betimes, early
TINCT	stain, dye
tinkers	tinkers were a noisy lot and, being gypsies, had their own language (Romany). [Twelfth Night]
TIRE	to tear as a bird of prey Hence, metaphorically, to feed
Tiring-house	dressing room
titles	possessions
to charge	to command
to credit	to believe
to dally	to have sex with, to fool around with
TOD	to yield a tod of wool
Toged	gowned, clothed
TOKENED	marked with plague spots
TOKENS	plague spots
TOLL	to exact toll To pay toll
Tom o' Bedlam	one who begs on the roads and has been released from the London madhouse, Bethlehem ("Bedlam") Hospital. [King Lear]
TOO TOO	excessively
top	overtop, surpass
topgallant	highest sail on the mast; hence, summit. [Romeo and Juliet]
TOPLESS	supreme, without superior
Topping|Tupping	sexual intercourse (also; making the beast with two backs)
Tottered	tattered
TOUCH	touchstone for testing gold Trait An acute feeling
touch'd	injured, hurt
TOUCHED	pricked
TOUSE	to pull, drag
TOWARD	nearly ready
TOWARDS	nearly ready
towering	turning about
toy in blood	trifling passion. [Hamlet]
TOYS	trifles, foolish tricks
Trace	traverse
Tract	pathway, track, area of land
TRADE	beaten path
traffic	trade, commerce. [The Tempest]
trains	artifices, devices
traject	ferry (from Italian traghetto). [The Merchant of Venice]
trammel up	catch, as in a net. [Macbeth]
TRANECT	a ferry
TRANSLATED	transformed
transport	convey
transpose	change
TRASH	to cheque, as a huntsman his hounds
TRAVAIL	labour, toil
traveling lamp	the sun
travelling lamp	the sun. [Macbeth]
TRAY	TRIP an old game played with dice
TREACHERS	traitors
treasons capital	crimes of treason that merit capital punishment (death)
TREATIES	entreaties
treatise	story
treble scepters	An ornamental staff signifying royalty. This likely shows King James' position as King of Great Britain, France, and Ireland in 1604
TRENCHED	carved
trencher	wooden plate, lit. one to cut food upon. [Romeo and Juliet]
TRICK	technically, a copy of a coat of arms; hence, any peculiarity which distinguishes voice or feature; to dress up
TRICKED	blazoned
TRICKING	ornament
TRICKSY	elegantly quaint
trifled	made trifling, made to sink into insignificance
trimmed	dressed up. [Othello]
TRIPLE	third
Triple-Hecate	ruling in three capacities- as Luna or Cynthia in heaven, Diana on earth, and Hecate in hell
tristful	sorrowful. [Hamlet]
Triumph	public show
TROJAN	a cant word for a thief
TROL	MY-DAMES the name of a game; also called pigeon-holes
TROTH	PLIGHT betrothed
TROW	to trust, think
trowest	believe, give credit to. [King Lear]
truckle-bed	small bed on wheels (cf. "truck") which (for a servant) was pushed under a larger bed (the master's), trundle bed. [Romeo and Juliet]
TRUE	honest
True-penny	an honest fellow
truest issue	rightful heir
truncheon	a general's baton. [Hamlet]
TRUNDLE	TAIL a long-tailed dog
trusted home	believed completely
TUCKET	SONANCE: a flourish on the trumpet
TUNDISH	a funnel
Tuneable	tuneful
Turk	a person from Turkey or a Moslem [link]
TURLYGOOD	a name adopted by bedlam-beggars
TURN	to modulate
turn Turk	turn bad. [Hamlet]
TWANGLING	twanging
TWIGGEN	made of twigs, wicker
TWILLED	Retained by woven branches
TWINK	a twinkling
TWIRE	to peep, twinkle
two	fold balls Orbs (sphere topped by a cross) signifying royalty. This refers to King James and his kingship of both England and Scotland.
two-headed Janus	a Roman god represented with two faces, one smiling and the other frowning. [The Merchant of Venice] U
tyranny	usurper
Umber	brown color
UMBERED	stained, dark, as with umber
UNANELED	without extreme unction
UNAVOIDED	unavoidable
UNBARBED	untrimmed
UNBATED	unblunted
unbend	relax. [Macbeth]
Unbitted	unbridled
UNBOLT	to disclose
UNBOLTED	unsifted, unrefined
Unbonneted	in all courtesy
unbound	unbounded, unmarried, free. [Romeo and Juliet]
unbraced	with doublet untied, open. [Julius Caesar]
Unbreathed	unexercised
unbruised	unspoiled. [Romeo and Juliet]
UNCAPE	to throw off the hounds
uncharge the practice	acquit us of plotting. [Hamlet]
UNCHARGED	undefended, applied to the gates of a city
UNCLEW	to unravel, undo
UNCOINED	unalloyed, unfeigned
Unconfirmed	inexperienced, untried
UNDER	WROUGHT undermined
UNDERGO	to undertake
undergoing stomach	enduring spirit. [The Tempest]
UNDERTAKER	one who takes up another's quarrel
undone	returned to chaos. [Macbeth]
uneared|unear'd	unploughed
UNEATH	hardly
UNEXPRESSIVE	inexpressible
UNFAIR	to deprive of beauty
unfix	make to stand on end
ungently	discourteously. [Julius Caesar]
UNHAPPILY	censoriously
UNHAPPY	mischievous
Unharden'd	impressionable
UNHATCHED	undisclosed
Unhoused	not tied down
unhousel'd	not having received the sacrament. [Hamlet]
UNHOUSELED	without receiving the sacrament
UNIMPROVED	unreproved
UNION	a pearl
UNJUST	dishonest UNKIND: unnatural
Unkind	unnatural
UNLIVED	bereft of life
unmake	unnerve. [Macbeth]
UNMANNED	untamed, applied to a hawk
UNOWED	unowned
UNPREGNANT	stupid
unprevailing	futile. [Hamlet]
UNPROPER	common to all
unprovide	unsettle. [Othello]
Unprovident	improvident, failing to provide for the future
UNQUESTIONABLE	not inquisitive
UNREADY	undressed
unreclaimed	untamed. [Hamlet]
UNRESPECTIVE	inconsiderate
unrough	beardless
Unseminared	deprived of seed or virility
unsex me	(in context) take away my soft, feminine characterstics
Unsifted	untried, inexperienced
unsinew'd	weak. [Hamlet]
UNSISTING	unresting
unspeak	recall, withdraw
UNSTANCHED	incontinent
unstuffed	by care (anxiety). [Romeo and Juliet]
untaught	unmannerly, ignorant. [Romeo and Juliet]
UNTEMPERING	unsoftening
UNTENTED	unsearchable
unthrifty	unlucky. [Romeo and Juliet]
untimely ripped	born prematurely, by Caesarean section
untitled	having no title or claim
unto	to
UNTRADED	unused, uncommon
UNTRIMMED	spoiled of grace or ornament
UNTRUE	untruth
UNVALUED	invaluable
unyoke	i.e., consider your day's work done. [Hamlet]
up-staring	standing straight up. [The Tempest]
upon	to
upon the gad	on the spur of the moment. [King Lear]
UPSPRING REEL	a boisterous dance
URCHIN	the hedge-hog
urchin-shows	it was an Elizabethan folk belief that malignant spirits appeared in the form of hedgehogs to torment people. [The Tempest]
usance	interest on money lent. [The Merchant of Venice] V
USE	interest
using	cherishing, entertaining
UTIS	riotous merriment, which accompanied the eighth day of a festival
UTTER	to expel, put forth
UTTERANCE	extremity
VADE	to fade
VAIL	to lower
vailing	lowering. [The Merchant of Venice]
VAINNESS	vanity
VALANCED	adorned with a valence or fringe; applied to the beard
VALIDITY	value
vantage	opportunity
VANTBRACE	armour for the front of the arm
VARLET	a servant, valet
varlets	low, uncouth characters. [The Tempest]
varnished faces	i.e., wearing painted masks. [The Merchant of Venice]
VAST	a waste-place; metaphorically, the dead of night; a gulf
VASTIDITY	immensity
VASTLY	like a waste
VASTY	vast, waste
