##name	Tunneling
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	theNoam
##copyright	<br>&copy; <a href="http://thenoam.com/">theNoam</a>
##description	English to Hebrew Dictionary for Geo-Engineering, Tunneling, Civil Engineering, Construction Works etc. 
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2005/09/04, 07:42
##bgl_middleUpdated	2012/05/23, 14:57
##bgl_lastUpdated	2012/05/23, 14:57
Abrasion	דיוס מדורג יורד
Steel	פלדה, תרכובת של ברזל ואחוז קטן (2% ומטה) של פחמן המשפר את חוזק וקושי החומר
Steel Arch|Steel Arches	קשת תימוך מפלדה
Steel Fibre	סיבי פלדה (זיון חלופי או נוסף בבטון, בעיקר בבטון מותז)
Steel Grade	דרוג הפלדה, סיווג הפלדה
Steel Lining	דיפון פלדה
Steel Pipe|Steel Pipes	צינור פלדה
Steel Pressure Plate|Steel Pressure Plates	לוח (פלטה) המוצב על גבי קיר התגובה ומחלק את מאמצי הלחיצה של הדחיקה
Steel Ribs|Steel Rib	תמיכות פלדה
Steel Structure|Structural Steelwork	מבנה פלדה
Steel Structures|Steel Structure	מבני פלדה
Steering Jacks	מערכת ג'קים לכיוונון ראש הקידוח בדחיקת צינורות
Step|Steps	פסיעה
Stepped	מדורג, מונח גאולוגי לתיאור מישור משונן
Stick	מקל, כפיס
Stiff	קשה, קשיח
Stiffener	פח חיזוק
Stiffening	הקשחה
Stiffening Rate	קצב הסמכה
Stiffness	קשיחות
Stiffness Matrix	מטריצת הקשיחות
Stirrup|Hoop|Hoops|Link|Links|Stirrups	חישוק
Stone Crusher|Stone Crushers	מגרסת חצץ
Strain	עיבור
Strand|Strands	גדיל
Strata	רובד, שכבה, מבנה הקרקע
Stratum	שכבה, רובד
Strength	חוזק
Strength Parameters	ערכי החוזק, הפרמטרים המיצגים את חוזקו של החומר
Strengthening of Shotcrete	חיזוק הבטון המותז באמצעות תוספת זיון או הגדלת העובי
Stress	מאמץ
Stress Ratio	יחס חלוקת המאמצים
Stress Regime	משטר מאמצים
Stress Relaxation	הרפיית מאמצים
Stress Strain Diagram|Stress Strain Curve	תרשים מאמץ כנגד עיבור, שיפוע הקטע הלינארי נותן את מודול האלסטיות - מודול יאנג
Strike	כיוון המישור, קו החיתוך האופקי בין מישור השבירה למישור אופקי
Structural	מבני
Structural Analysis	אנליזה מבנית
Structural Behavior	התנהגות המבנה
Structural Component|Structural Components	רכיב מבני, חלק מהמסגרת המבנית התומכת של המבנה
Structural Concrete	בטון מבני, בטון מאיכות טובה המתאימה לבנייה
Structural Damage|Structural Damages	נזק מבני, נזק הפוגם במסגרת המבנית התומכת של המבנה
Structural Design	תכן מבנים
Structural Element|Structural Elements	רכיב מבני, חלק מהמסגרת המבנית התומכת של המבנה
Structural Engineer	קונסטרוקטור, מהנדס בניין
Structural Engineering	הנדסת מבנים
Structural Frame	מסגרת מבנית, מסגרת תומכת
Structural Health Monitoring|SHM	ניטור האיכות המבנית, ניטור מבנה בעזרת מדידים
Structural Steel	פלדה מבנית
Structure|Structures	מבנה
Strut	מוט לחוץ במסבך
Subcontractor	קבלן משנה
Subsidence	שקיעה, תזוזת שכבה שלמה של קרקע כלפי מטה עקב הסרה של קרקע אחרת בעומק רב
Substructure	תשתית
Suitability Test|Suitability Tests	בדיקת ביצועים
Superplasticizer|Superplasticizers	מוסף על פלסטי
Superstructure	מיסעה
Supervision	פיקוח
Supervisor|Supervisors	מפקח
Supplier|Suppliers	ספק
Support|Supports	תימוך, השענה, סמך, תמיכה
Surface Condition|Surface Conditions	מצב פני הסלע
Surface Load	עומס בפני השטח
Surrounding	סובב, מקיף
Survey|Surveys	סקר, תסקיר
Survivabilty	הינצלות, מושג המתאר את ההסתברות לשרוד פגיעה מפיצוץ
Sway Frame	מסגרת שאינה מוחזקת
Sweeper|Sweepers	מכונה לטאטוא
Swelling	תפיחה
Swelling Ground	קרקע תופחת, קרקע הסופגת מים, גדלה בנפחה, ומתפשטת לאיטה לתוך החלל החצוב
Swelling Rock	סלע תופח
Switching Unit|Switching Units	יחידת מיתוג
System|Systems	מערכת, שיטה, תכנית
T Section	חתך בצורת קמץ
Table|Tables	טבלה, לוח
Technical Information	מידע טכני
Telem Tunnel	מנהרת תלם.<br>מנהרה כפולה באורך 820 מטר בקו הרכבת המהיר לירושלים
Temporary	זמני
Temporary Anchor|Temporary Anchors	עוגן זמני, עוגן המתוכנן למשך תפקוד עד 24 חודשים
Temporary Invert	אי כריית או הגבהת רצפת המנהרה בצורה זמנית לצורך שחרור מבוקר של מאמצים
Tender	מכרז
Tender Documents	מסמכי המכרז
Tender Drawings|Tender Drawing	תכניות למכרז
Tendon|Tendons	מיתר, מוט או גדילים שמשמשים לדריכה בעוגן
Tendon Bond Length	קטע מעוגן, קטע המיתר המעוגן לדייס ובאמצעותו לקרקע. חלק העוגן המעביר את עומסי המתיחה מהמיתרים לדיסקה ולמבנה
Tensile Force|Tensile Forces	כוח מתיחה
Tensile Reinforcement|Tensile Steel	זיון למתיחה, מוטות זיון לשיפור חתך הבטון כנגד כוחות מתיחה
Tensile Strength	חוזק למתיחה
Tensile Stress|Tensile Stresses	מאמץ מתיחה
Tensile Yield Strength	מאמץ כניעה במתיחה
Tension	מתיחה
Tension Crack	סדק שנוצר עקב מתיחה
Tension Ring	טבעת מתיחה
Tension Rod|Tension Rods	מוט מתיחה
Tentative	טנטטיבי, ניסיוני, זמני
Tenter Frame	מסגרת החוזה, מסגרת המכרז
Termination	סיום, קצה של אלמנט מישורי כגון סדק
Test Methods	שיטות הבדיקה
The Standards Institution of Israel|SII|Standards Institution of Israel	מכון התקנים הישראלי, מת"י. <BR>הגוף האחראי להוצאת תקנים בישראל<HR>http://www.sii.org.il
The Uma Station|HaUma Station|Uma Station	תחנת האומה.<br>תחנת הרכבת התת-קרקעית בקו הרכבת המהיר לירושלים. התחנה ממוקמת 80 מטר מתחת למתחם הממוקם בין התחנה המרכזית לבנייני האומה
Thermal Plaster	טיח תרמי
Thickness	עובי
Three-Dimensional|3D|Three Dimensional	תלת ממדי, תלת ממד
Thrust	כוח צירי
Thrust Pit	פיר דחיקה
Tie	מוט מתוח במסבך
Tieback|Tie Back|Tie backs|Tiebacks	עוגן קרקע
Tied Back Piles|TieBack Pile|TieBack Piles|Tied Back Pile|TiedBack Pile|TiedBack Piles	קיר כלונסאות עם עוגני קרקע
Tightness	אטימות
Tilt Trailer	נגרר נטוי.<BR>כלי לנשיאת כלים הנדסיים הנוטה כדי לאפשר עליית הכלים ללא רמפה או עם רמפה קצרה בלבד
Timber	עץ
Timber Structure|Timber Structures	מבנה עץ
Time Table	לוח זמנים
Tire Flexing	עוות בצורת הצמיג.<BR>בכלים אופניים קיימת התנגדות לגלגול הנובעת מעוות בצמיג עקב גמישותו
Tire Internal Friction	חכוך פנימי בגלגל.<BR>בכלים אופניים קיימת התנגדות לגלגול הנובעת מחכוך פנימי במייסבים
Tire Penetration	חדירת הצמיג לקרקע.<BR>בכלים אופניים קיימת התנגדות לגלגול הנובעת משקיעת הצמיג לתוך הקרקע
Tolerance	רמת הדיוק הנדרשת בחישוב בשיטות נומריות או בשיטת הניסוי וטעייה
Torsion	פיתול
Total Displacement|Total Displacements	תזוזה מקסימלית.<BR>וקטור התזוזה, ערך התזוזה הגלובלי
Trace	עקבה, קו חיתוך בין מישור אי-רציפות למעטפת החלל
Traffic Lane|Traffic Lanes	נתיב תכן
Trailer|Trailers	נגרר, גרור
Trailer Low Bed|Trailer Low-Bed	מוביל נמוך.<BR>כלי לנשיאת כלים הנדסיים המאפשר עליית הכלים ללא רמפה או עם רמפה קצרה בלבד
Transient	ארעי, זמני
Transient Load	עומס אקראי
Tranzloader	ציוד אופני האוסף חפורת בכף יעה
Trench	תעלה, חפירה
Trencher	מחפר, מחפר מתעל, חופר תעלות.<BR>מחפר גלגל, או מחפר עם סרט נע
Trenchless Technology	טכנולוגית מנהור המקטינה למינימום את הצורך בחפירה בפני השטח
Trial Mixture|Trial Mixtures	תערובת ניסיון
Triaxial|Tri-Axial	תלת צירי
Triggering	תופעה הגורמת למפולת מקומית עקב שחרור של אבן המשחררת אבן נוספת ומניעה תהליך שרשרת
Trumpet	שרוול מעבר
Truss	מסבך
Tuff	טוף, סלע וולקני
Tunnel|Tunnels	מנהרה, חלל מלאכותי תת-קרקעי, אופקי או כמעט אופקי הפתוח לאטמוספירה בשני קצותיו
Tunnel Boring Machine|TBM|Tunnel Boring Machines	מכונת מנהור בחתך מלא (עגול) בשיטת הקידוח והכרסום
Tunnel Soffit|Soffit	הצד הפנימי של ראש המנהרה, הקצה העליון בחתך המנהרה
Tunneling|Tunnelling	מנהור
Tunneling Equipment|Tunnelling Equipment	ציוד מנהור
Tunneling Techniques|Tunnelling Techniques	שיטת המנהור, טכניקת ביצוע המנהור
Two Way Ribbed Slab|Two Way Ribbed Slabs	תקרת ערוגות
Two Way Slab|Two Way Slabs	תקרה מצולבת
Two-Dimensional|2D|Two Dimensional	דו-ממדי, מישורי
Typical Cross Section|Typical Cross Sections|Typical Cross-Section|Typical Cross-Sections|Typical Sections	חתך רוחב אופייני
US Bureau of Mines|U S Bureau of Mines|U.S Bureau of Mines	משרד הכרייה האמריקאי
Ultimate Limit State|Limit State|Ultimate	מצב גבולי של הרס, מצב התמוטטות המבנה או מצבי כשל במבנה כאשר הכוחות המייצבים את המבנה קטנים או שווים להטרחות הפועלות על המבנה
Ultimate Strength	חוזק במצב גבולי של הרס
Unbonded Length	קטע חופשי, קטע המיתר בין הקטע המעוגן לראש העוגן
Unconsolidated	שלא עבר קונסולידציה
Underbreak|Under Break|Under Cut|Undercut	חיצוב חסר, כרייה הקטנה מגבולות החתך המתוכנן
Underground	תת-קרקעי
Underground Facilities	מתקנים תת-קרקעיים
Underground Mining	כרייה תת-קרקעית
Underground Space	חלל תת-קרקעי
Underground Water	מי תהום
Undisturbed	לא מופר
Undisturbed Soil	קרקע בלתי מופרת
Undulating	גלי
Unexploded Charge|Unexploded Charges	מטען נפץ שלא התפוצץ
Uniaxial	חד-צירי
Uniaxial Compressive Strength|UCS	חוזק לחיצה חד-צירי
Uniform Load|Uniform Loads	עומס מפורס אחיד, עומס קבוע
Uniform Pressure	לחץ מפורס אחיד
Unit Weight	משקל מרחבי
Unit-Price|Unit Price	מחיר יחידה
Unstable	לא יציב
Unsupported	ללא תימוך
Upper Beam	קורה עליונה
Upper Layer	שכבה עליונה
Urgent	דחוף, מיידי לביצוע
Value-Added Tax (VAT)|VAT|Value Added Tax|Value-Added Tax	מס ערך מוסף, מע"מ
Variable|Variables	משתנה
Variable Loads|Variable Load	עומסים משתנים
Vault	החלק העליון במנהרה כרוייה (לפני העמקה)
Velocity	מהירות
Ventilation	אוורור
Ventilation Shaft|Ventilation Shafts	פיר אוורור
Version|Versions	גרסה, נוסח
Vertical	אנכי, ניצב
Vertical Stress|Vertical Stresses	מאמץ אנכי
Very Good Quality|"Very Good Quality"|"Very Good" Quality|Very "Good" Quality	איכות טובה מאוד, מאפיין למיון איכות הסלע
Very Poor Quality|"Very Poor Quality"|"Very Poor"|"Very Poor" Quality|Very "Poor" Quality	איכות גרועה מאוד, מאפיין למיון איכות הסלע
Vibrating Screen|Vibrating Screens	נפה ויברציונית
Vibrating Wire	תיל רוטט
Vibration	רטט
Vibrator|Vibrators	מרטט
Vibratory Compactor|Vibratory Compactors	מהדק קרקע, מרטט
Vibratory Driven Casing	קדיחה ויברציונית תוך כדי דחיקת צנרת מגן
Wagon Drill|Wagon Drills	מתקן קידוח
Wall|Walls	קיר, חומה, דופן
Wall Crest|Crest	הקצה העליון של קיר הדיפון
Wall Toe|Toe	המפלס התחתון של קיר הדיפון
Walnut	עץ אגוז
Water Level	מפלס המים
Water Proofing|Water Proof	איטום למים
Waterproof	אטום למים
Waterproofing Details|Waterproofing Detail	פרטי איטום
Waterproofing Membrane|Waterproofing Membranes	יריעת איטום
Waterstop|Waterstops	עצר מים
Wavy Bedding	גליות, שיכוב המאופיין בגליות
Weathered	בלוי, שחוק
Weathering	בלייה, התפוררות פני הסלע עקב חשיפתו לגורמים אטמוספריים
Weathering Steel	פלדה מיוחדת היוצרת בתהליך קורוזיה ראשוני מעטה חלודה המגן עליה מפני המשך תהליך הקורוזיה
Web	דופן של קורה
Weldable	רתיך
Welded Mesh|Welded Fabric|Welded Fabrics|Welded Meshes	רשת מרותכת
Welding	ריתוך
Well Bedded Laminated	משוכב היטב עד דק
Well Sitter	גאולוג אתר, גאולוג הנמצא באתר קידוח ומתאר את מהלך הקידוח וממצאיו
Wellpoints|Well Point|Well Points|Wellpoint	נקודות שאיבה (בארות) הממוקמות מסביב לחפירה לצורך הורדת (השפלת) מי תהום
Wheel Load|Wheel Loads	עומס צמד גלגלים
Widening	הרחבת חתך המנהרה
Width	רוחב
Wind Load	עומס רוח
Wire Mesh|Wire Meshes	רשת זיון קלה, רשת גדר או רשת גביונים
Workability	עבידות
Working Platform|Working Platforms	משטח עבודה
Yield	כניעה
Yield Point	גבול התחום האלסטי, נקודת הכניעה של החומר
Young's Modulus|E|Modulus of Elasticity	מודול יאנג, מודול האלסטיות
kiloNewton|kN|kilo Newton	קילוניוטון, ק"נ
